PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Family_size
1,0,third,male,22.0,2.3043724544848647,S,1
2,1,first,female,38.0,5.015437768039126,C,1
3,1,third,female,26.0,2.398221310352146,S,0
4,1,first,female,35.0,4.723612218851696,S,1
5,0,third,male,35.0,2.4148822025895167,S,0
6,0,third,male,28.0,2.4678692855831668,Q,0
7,0,first,male,54.0,4.69151431817404,S,0
8,0,third,male,2.0,3.523796061248209,S,4
9,1,third,female,27.0,2.770564334584179,S,2
10,1,second,female,14.0,3.9709248388137084,C,1
11,1,third,female,4.0,3.241481118382464,S,2
12,1,first,female,58.0,3.8121732488288633,S,0
13,0,third,male,20.0,2.4148822025895167,S,0
14,0,third,male,39.0,4.0214448601988995,S,6
15,0,third,female,14.0,2.3886893355718013,S,0
16,1,second,female,55.0,3.190458558560287,S,0
17,0,third,male,2.0,3.929969396549108,Q,5
18,1,second,male,28.0,2.9473095617168967,S,0
19,0,third,female,31.0,3.3315096839855767,S,1
20,1,third,female,28.0,2.3007628978459755,C,0
21,0,second,male,35.0,3.7857078329768887,S,0
22,1,second,male,34.0,2.9473095617168967,S,0
23,1,third,female,15.0,2.412124536325277,Q,0
24,1,first,male,28.0,4.185977149422453,S,0
25,0,third,female,8.0,3.523796061248209,S,4
26,1,third,female,38.0,4.026075828701417,S,6
27,0,third,male,28.0,2.3007628978459755,C,0
28,0,first,male,19.0,5.015437768039126,S,5
29,1,third,female,28.0,2.3920631093260445,Q,0
30,0,third,male,28.0,2.394298482187998,S,0
31,0,first,male,40.0,3.86693304395085,C,0
32,1,first,female,28.0,5.015437768039126,C,1
33,1,third,female,28.0,2.3745326220959444,Q,0
34,0,second,male,66.0,2.704889119955267,S,0
35,0,first,male,28.0,5.015437768039126,C,1
36,0,first,male,42.0,4.695114608316313,S,1
37,1,third,male,28.0,2.3013700064551847,C,0
38,0,third,male,21.0,2.4148822025895167,S,0
39,0,third,female,18.0,3.3315096839855767,S,2
40,1,third,female,14.0,2.781489188605697,C,1
41,0,third,female,40.0,2.5912051900167388,S,1
42,0,second,female,27.0,3.519407197147049,S,1
43,0,third,male,28.0,2.394298482187998,C,0
44,1,second,female,3.0,4.3943774604715395,C,3
45,1,third,female,19.0,2.3920631093260445,Q,0
46,0,third,male,28.0,2.4148822025895167,S,0
47,0,third,male,28.0,3.152819522300036,Q,1
48,1,third,female,28.0,2.3745326220959444,Q,0
49,0,third,male,28.0,3.558661819728736,C,2
50,0,third,female,18.0,3.318034348923242,S,1
51,0,third,male,7.0,4.3326257673247035,S,5
52,0,third,male,21.0,2.381344868472615,S,0
53,1,first,female,49.0,5.015437768039126,C,1
54,1,second,female,29.0,3.7857078329768887,S,1
55,0,first,male,65.0,4.935937669411826,C,1
56,1,first,male,28.0,4.185977149422453,S,0
57,1,second,female,21.0,2.704889119955267,S,0
58,0,third,male,28.5,2.3013700064551847,C,0
59,1,second,female,5.0,3.868272400697609,S,3
60,0,third,male,11.0,4.555456251917921,S,7
61,0,third,male,22.0,2.3013700064551847,C,0
62,1,first,female,38.0,5.015437768039126,S,0
63,0,first,male,45.0,5.015437768039126,S,1
64,0,third,male,4.0,3.8751330405718423,S,5
65,0,first,male,28.0,3.86693304395085,C,0
66,1,third,male,28.0,3.133280658269117,C,2
67,1,second,female,29.0,2.704889119955267,S,0
68,0,third,male,19.0,2.429147311513578,S,0
69,1,third,female,17.0,2.398221310352146,S,6
70,0,third,male,26.0,2.493586391951111,S,2
71,0,second,male,32.0,2.704889119955267,S,0
72,0,third,female,16.0,4.555456251917921,S,7
73,0,second,male,21.0,5.015437768039126,S,0
74,0,third,male,26.0,3.0705848524372903,C,1
75,1,third,male,32.0,4.808349126889522,S,0
76,0,third,male,25.0,2.360800273073946,S,0
77,0,third,male,28.0,2.394298482187998,S,0
78,0,third,male,28.0,2.4148822025895167,S,0
79,1,second,male,0.83,3.9244685627628213,S,2
80,1,third,female,30.0,2.8998993211269903,S,0
81,0,third,male,22.0,2.5350176560332587,S,0
82,1,third,male,29.0,2.5940972117941037,S,0
83,1,third,female,28.0,2.379645143616436,Q,0
84,0,first,male,28.0,4.561184786266102,S,0
85,1,second,female,17.0,2.704889119955267,S,0
86,1,third,female,33.0,3.1792747121738003,S,3
87,0,third,male,16.0,4.143947681749917,S,4
88,0,third,male,28.0,2.4148822025895167,S,0
89,1,first,female,23.0,5.015437768039126,S,5
90,0,third,male,24.0,2.4148822025895167,S,0
91,0,third,male,29.0,2.4148822025895167,S,0
92,0,third,male,20.0,2.3886893355718013,S,0
93,0,first,male,46.0,4.91787926918867,S,1
94,0,third,male,26.0,3.4942745047830144,S,3
95,0,third,male,59.0,2.3043724544848647,S,0
96,0,third,male,28.0,2.4148822025895167,S,0
97,0,first,male,71.0,4.15449168941072,C,0
98,1,first,male,23.0,4.966418542504059,C,1
99,1,second,female,34.0,3.6320031322748716,S,1
100,0,second,male,34.0,3.7857078329768887,S,1
101,0,third,female,28.0,2.394298482187998,S,0
102,0,third,male,28.0,2.394298482187998,S,0
103,0,first,male,21.0,5.015437768039126,S,1
104,0,third,male,33.0,2.4925508514011527,S,0
105,0,third,male,37.0,2.398221310352146,S,2
106,0,third,male,28.0,2.394298482187998,S,0
107,1,third,female,21.0,2.360800273073946,S,0
108,1,third,male,28.0,2.377943198319083,S,0
109,0,third,male,38.0,2.394298482187998,S,0
110,1,third,female,28.0,3.6929033867379175,Q,1
111,0,first,male,47.0,4.695114608316313,S,0
112,0,third,female,14.5,3.0705848524372903,C,1
113,0,third,male,22.0,2.4148822025895167,S,0
114,0,third,female,20.0,2.6311293058238863,S,1
115,0,third,female,17.0,3.0709171015426975,C,0
116,0,third,male,21.0,2.398221310352146,S,0
117,0,third,male,70.5,2.3745326220959444,Q,0
118,0,second,male,29.0,3.519407197147049,S,1
119,0,first,male,24.0,5.015437768039126,C,1
120,0,third,female,2.0,4.0214448601988995,S,6
121,0,second,male,21.0,5.015437768039126,S,2
122,0,third,male,28.0,2.4148822025895167,S,0
123,0,second,male,32.5,3.9709248388137084,C,1
124,1,second,female,32.5,2.9473095617168967,S,0
125,0,first,male,54.0,5.015437768039126,S,1
126,1,third,male,12.0,2.781489188605697,C,1
127,0,third,male,28.0,2.3745326220959444,Q,0
128,1,third,male,24.0,2.2886627515688764,S,0
129,1,third,female,28.0,3.596846429067125,C,2
130,0,third,male,45.0,2.2641028388841624,S,0
131,0,third,male,33.0,2.394298482187998,C,0
132,0,third,male,20.0,2.2752103292422072,S,0
133,0,third,female,47.0,3.074291731413492,S,1
134,1,second,female,29.0,3.7857078329768887,S,1
135,0,second,male,25.0,2.9473095617168967,S,0
136,0,second,male,23.0,3.1177095982257983,C,0
137,1,first,female,19.0,3.7994010851013487,S,2
138,0,first,male,37.0,4.723612218851696,S,1
139,0,third,male,16.0,2.560948196518704,S,0
140,0,first,male,24.0,5.015437768039126,C,0
141,0,third,female,28.0,3.133280658269117,C,2
142,1,third,female,22.0,2.3745326220959444,S,0
143,1,third,female,24.0,3.1792747121738003,S,1
144,0,third,male,19.0,2.230195558586317,Q,0
145,0,second,male,18.0,2.807167738626635,S,0
146,0,second,male,19.0,4.231304329059991,S,2
147,1,third,male,27.0,2.38077400824106,S,0
148,0,third,female,9.0,4.143947681749917,S,4
149,0,second,male,36.5,3.7857078329768887,S,2
150,0,second,male,42.0,2.9473095617168967,S,0
151,0,second,male,51.0,2.9044869458006577,S,0
152,1,first,female,22.0,5.015437768039126,S,1
153,0,third,male,55.5,2.4148822025895167,S,0
154,0,third,male,40.5,3.074291731413492,S,2
155,0,third,male,28.0,2.3133526149622288,S,0
156,0,first,male,51.0,4.9224848186582655,C,1
157,1,third,female,16.0,2.3722493713075887,Q,0
158,0,third,male,30.0,2.4148822025895167,S,0
159,0,third,male,28.0,2.493586391951111,S,0
160,0,third,male,28.0,5.015437768039126,S,10
161,0,third,male,44.0,3.197864250049784,S,1
162,1,second,female,40.0,3.171767940358532,S,0
163,0,third,male,26.0,2.377943198319083,S,0
164,0,third,male,17.0,2.493586391951111,S,0
165,0,third,male,1.0,4.3326257673247035,S,5
166,1,third,male,9.0,3.4912879063984277,S,2
167,1,first,female,28.0,4.7716057432440335,S,1
168,0,third,female,45.0,3.8751330405718423,S,5
169,0,first,male,28.0,3.7820606492023026,S,0
170,0,third,male,28.0,4.808349126889522,S,0
171,0,first,male,61.0,4.110401247454974,S,0
172,0,third,male,4.0,3.929969396549108,Q,5
173,1,third,female,1.0,2.770564334584179,S,2
174,0,third,male,21.0,2.398221310352146,S,0
175,0,first,male,56.0,3.997365522502673,C,0
176,0,third,male,18.0,2.3886893355718013,S,2
177,0,third,male,28.0,3.7595692313787774,S,4
178,0,first,female,50.0,3.911736383873786,C,0
179,0,second,male,30.0,2.9473095617168967,S,0
180,0,third,male,36.0,0.0,S,0
181,0,third,female,28.0,5.015437768039126,S,10
182,0,second,male,28.0,3.118038417101691,C,0
183,0,third,male,9.0,4.026075828701417,S,6
184,1,second,male,1.0,4.309528842783427,S,3
185,1,third,female,4.0,3.5782347253899887,S,2
186,0,first,male,28.0,4.641880915904428,S,0
187,1,third,female,28.0,3.152819522300036,Q,1
188,1,first,male,45.0,3.8121732488288633,S,0
189,0,third,male,40.0,3.152819522300036,Q,2
190,0,third,male,36.0,2.394298482187998,S,0
191,1,second,female,32.0,2.9473095617168967,S,0
192,0,second,male,19.0,2.9473095617168967,S,0
193,1,third,female,19.0,2.3886893355718013,S,1
194,1,second,male,3.0,3.7857078329768887,S,2
195,1,first,female,44.0,3.86693304395085,C,0
196,1,first,female,58.0,5.015437768039126,C,0
197,0,third,male,28.0,2.3745326220959444,Q,0
198,0,third,male,42.0,2.4609705227458756,S,1
199,1,third,female,28.0,2.3745326220959444,Q,0
200,0,second,female,24.0,2.9473095617168967,S,0
201,0,third,male,28.0,2.5940972117941037,S,0
202,0,third,male,28.0,5.015437768039126,S,10
203,0,third,male,34.0,2.190783374363152,S,0
204,0,third,male,45.5,2.3007628978459755,C,0
205,1,third,male,18.0,2.4148822025895167,S,0
206,0,third,female,2.0,2.7008969505261584,S,1
207,0,third,male,32.0,3.1792747121738003,S,1
208,1,third,male,26.0,3.3833335873882944,C,0
209,1,third,female,16.0,2.3745326220959444,Q,0
210,1,first,male,40.0,4.01006204491078,C,0
211,0,third,male,24.0,2.2752103292422072,S,0
212,1,second,female,35.0,3.519407197147049,S,0
213,0,third,male,22.0,2.3043724544848647,S,0
214,0,second,male,30.0,2.9473095617168967,S,0
215,0,third,male,28.0,2.3745326220959444,Q,1
216,1,first,female,31.0,5.015437768039126,C,1
217,1,third,female,27.0,2.398221310352146,S,0
218,0,second,male,42.0,3.833468531648843,S,1
219,1,first,female,32.0,5.015437768039126,C,0
220,0,second,male,30.0,2.704889119955267,S,0
221,1,third,male,16.0,2.4148822025895167,S,0
222,0,second,male,27.0,2.9473095617168967,S,0
223,0,third,male,51.0,2.4148822025895167,S,0
224,0,third,male,28.0,2.394298482187998,S,0
225,1,first,male,38.0,5.015437768039126,S,1
226,0,third,male,22.0,2.576649372122712,S,0
227,1,second,male,19.0,2.704889119955267,S,0
228,0,third,male,20.5,2.3043724544848647,S,0
229,0,second,male,18.0,2.9473095617168967,S,0
230,0,third,female,28.0,3.7595692313787774,S,4
231,1,first,female,35.0,5.015437768039126,S,1
232,0,third,male,29.0,2.377943198319083,S,0
233,0,second,male,59.0,2.99096883417017,S,0
234,1,third,female,5.0,4.026075828701417,S,6
235,0,second,male,24.0,2.704889119955267,S,0
236,0,third,female,28.0,2.346921443108511,S,0
237,0,second,male,44.0,3.7857078329768887,S,1
238,1,second,female,8.0,3.7977983217500153,S,2
239,0,second,male,19.0,2.704889119955267,S,0
240,0,second,male,33.0,2.8813912008729643,S,0
241,0,third,female,28.0,3.0705848524372903,C,1
242,1,third,female,28.0,3.152819522300036,Q,1
243,0,second,male,29.0,2.704889119955267,S,0
244,0,third,male,22.0,2.286223246576346,S,0
245,0,third,male,30.0,2.3007628978459755,C,0
246,0,first,male,44.0,5.015437768039126,Q,2
247,0,third,female,25.0,2.377943198319083,S,0
248,1,second,female,24.0,3.074291731413492,S,2
249,1,first,male,37.0,4.709539372444106,S,2
250,0,second,male,54.0,3.7857078329768887,S,1
251,0,third,male,28.0,2.3043724544848647,S,0
252,0,third,female,29.0,2.7008969505261584,S,2
253,0,first,male,62.0,3.8121732488288633,S,0
254,0,third,male,30.0,3.197864250049784,S,1
255,0,third,female,41.0,3.4724761219102795,S,2
256,1,third,female,29.0,3.133280658269117,C,2
257,1,first,female,28.0,5.015437768039126,C,0
258,1,first,female,30.0,5.015437768039126,S,0
259,1,first,female,35.0,5.015437768039126,C,0
260,1,second,female,50.0,3.7857078329768887,S,1
261,0,third,male,28.0,2.3745326220959444,Q,0
262,1,third,male,3.0,4.026075828701417,S,6
263,0,first,male,52.0,5.015437768039126,S,2
264,0,first,male,40.0,0.0,S,0
265,0,third,female,28.0,2.3745326220959444,Q,0
266,0,second,male,36.0,2.704889119955267,S,0
267,0,third,male,16.0,4.3326257673247035,S,5
268,1,third,male,25.0,2.377943198319083,S,1
269,1,first,female,58.0,5.015437768039126,S,1
270,1,first,female,35.0,5.015437768039126,S,0
271,0,first,male,28.0,4.01006204491078,S,0
272,1,third,male,25.0,0.0,S,0
273,1,second,female,41.0,3.4286158700593674,S,1
274,0,first,male,37.0,3.955006469249529,C,1
275,1,third,female,28.0,2.3745326220959444,Q,0
276,1,first,female,63.0,5.015437768039126,S,1
277,0,third,female,45.0,2.3745326220959444,S,0
278,0,second,male,28.0,0.0,S,0
279,0,third,male,7.0,3.929969396549108,Q,5
280,1,third,female,35.0,3.4747469148569685,S,2
281,0,third,male,65.0,2.3745326220959444,Q,0
282,0,third,male,28.0,2.3886893355718013,S,0
283,0,third,male,16.0,2.5940972117941037,S,0
284,1,third,male,19.0,2.4148822025895167,S,0
285,0,first,male,28.0,3.7857078329768887,S,0
286,0,third,male,33.0,2.493586391951111,C,0
287,1,third,male,30.0,2.5940972117941037,S,0
288,0,third,male,22.0,2.394298482187998,S,0
289,1,second,male,42.0,2.9473095617168967,S,0
290,1,third,female,22.0,2.3745326220959444,Q,0
291,1,first,female,26.0,5.015437768039126,S,0
292,1,first,female,19.0,5.015437768039126,C,1
293,0,second,male,36.0,2.9361712869843584,C,0
294,0,third,female,24.0,2.5167647266406177,S,0
295,0,third,male,24.0,2.394298482187998,S,0
296,0,first,male,28.0,3.86693304395085,C,0
297,0,third,male,23.5,2.3013700064551847,C,0
298,0,first,female,2.0,5.015437768039126,S,3
299,1,first,male,28.0,3.9891340466493737,S,0
300,1,first,female,50.0,5.015437768039126,C,1
301,1,third,female,28.0,2.3745326220959444,Q,0
302,1,third,male,28.0,3.645466729701733,Q,2
303,0,third,male,19.0,0.0,S,0
304,1,second,female,28.0,2.888361547293197,Q,0
305,0,third,male,28.0,2.4148822025895167,S,0
306,1,first,male,0.92,5.015437768039126,S,3
307,1,first,female,28.0,5.015437768039126,C,0
308,1,first,female,17.0,5.015437768039126,C,1
309,0,second,male,30.0,3.6851065970493853,C,1
310,1,first,female,30.0,4.818831414101551,C,0
311,1,first,female,24.0,5.015437768039126,C,0
312,1,first,female,18.0,5.015437768039126,C,4
313,0,second,female,26.0,3.7857078329768887,S,2
314,0,third,male,28.0,2.394298482187998,S,0
315,0,second,male,43.0,3.7977983217500153,S,2
316,1,third,female,26.0,2.3886893355718013,S,0
317,1,second,female,24.0,3.7857078329768887,S,1
318,0,second,male,54.0,3.033267663409314,S,0
319,1,first,female,31.0,5.015437768039126,S,2
320,1,first,female,40.0,5.015437768039126,C,2
321,0,third,male,22.0,2.3043724544848647,S,0
322,0,third,male,27.0,2.394298482187998,S,0
323,1,second,female,30.0,2.888361547293197,Q,0
324,1,second,female,22.0,3.9244685627628213,S,2
325,0,third,male,28.0,5.015437768039126,S,10
326,1,first,female,36.0,5.015437768039126,C,0
327,0,third,male,61.0,2.1494584459713977,S,0
328,1,second,female,36.0,2.9473095617168967,S,0
329,1,third,female,31.0,3.4912879063984277,S,2
330,1,first,female,16.0,4.843931496500242,C,1
331,1,third,female,28.0,3.645466729701733,Q,2
332,0,first,male,45.5,3.902252765778488,S,0
333,0,first,male,38.0,5.015437768039126,S,1
334,0,third,male,16.0,3.3315096839855767,S,2
335,1,first,female,28.0,5.015437768039126,S,1
336,0,third,male,28.0,2.394298482187998,S,0
337,0,first,male,29.0,5.015437768039126,S,1
338,1,first,female,41.0,5.015437768039126,C,0
339,1,third,male,45.0,2.4148822025895167,S,0
340,0,first,male,45.0,4.185977149422453,S,0
341,1,second,male,2.0,3.7857078329768887,S,2
342,1,first,female,24.0,5.015437768039126,S,5
343,0,second,male,28.0,2.9473095617168967,S,0
344,0,second,male,25.0,2.9473095617168967,S,0
345,0,second,male,36.0,2.9473095617168967,S,0
346,1,second,female,24.0,2.9473095617168967,S,0
347,1,second,female,40.0,2.9473095617168967,S,0
348,1,third,female,28.0,3.197864250049784,S,1
349,1,third,male,3.0,3.1830127780522783,S,2
350,0,third,male,42.0,2.493586391951111,S,0
351,0,third,male,23.0,2.5619313122928133,S,0
352,0,first,male,28.0,4.16744630212166,S,0
353,0,third,male,15.0,2.3013700064551847,C,2
354,0,third,male,25.0,3.318034348923242,S,1
355,0,third,male,28.0,2.3007628978459755,C,0
356,0,third,male,28.0,2.5940972117941037,S,0
357,1,first,female,22.0,4.7716057432440335,S,1
358,0,second,female,38.0,2.9473095617168967,S,0
359,1,third,female,28.0,2.3920631093260445,Q,0
360,1,third,female,28.0,2.3920631093260445,Q,0
361,0,third,male,40.0,3.8751330405718423,S,5
362,0,second,male,29.0,3.86693304395085,C,1
363,0,third,female,45.0,3.0705848524372903,C,1
364,0,third,male,35.0,2.2752103292422072,S,0
365,0,third,male,28.0,3.152819522300036,Q,1
366,0,third,male,30.0,2.3043724544848647,S,0
367,1,first,female,60.0,5.015437768039126,C,1
368,1,third,female,28.0,2.3013700064551847,C,0
369,1,third,female,28.0,2.3745326220959444,Q,0
370,1,first,female,24.0,5.015437768039126,C,0
371,1,first,male,25.0,4.782548632381412,C,1
372,0,third,male,18.0,2.190783374363152,S,1
373,0,third,male,19.0,2.4148822025895167,S,0
374,0,first,male,22.0,5.015437768039126,C,0
375,0,third,female,3.0,3.523796061248209,S,4
376,1,first,female,28.0,5.015437768039126,C,1
377,1,third,female,22.0,2.3043724544848647,S,0
378,0,first,male,27.0,5.015437768039126,C,2
379,0,third,male,20.0,1.7236508937585957,C,0
380,0,third,male,19.0,2.377943198319083,S,0
381,1,first,female,42.0,5.015437768039126,C,0
382,1,third,female,1.0,3.171143031079696,C,2
383,0,third,male,32.0,2.398221310352146,S,0
384,1,first,female,35.0,4.695114608316313,S,1
385,0,third,male,28.0,2.394298482187998,S,0
386,0,second,male,18.0,5.015437768039126,S,0
387,0,third,male,1.0,4.555456251917921,S,7
388,1,second,female,36.0,2.9473095617168967,S,0
389,0,third,male,28.0,2.371688200114058,Q,0
390,1,second,female,17.0,2.8555202111493228,C,0
391,1,first,male,36.0,5.015437768039126,S,3
392,1,third,male,21.0,2.38077400824106,S,0
393,0,third,male,28.0,2.398221310352146,S,2
394,1,first,female,23.0,5.015437768039126,C,1
395,1,third,female,24.0,3.241481118382464,S,2
396,0,third,male,22.0,2.38077400824106,S,0
397,0,third,female,31.0,2.3886893355718013,S,0
398,0,second,male,46.0,3.7857078329768887,S,0
399,0,second,male,23.0,2.704889119955267,S,0
400,1,second,female,28.0,2.915888264566553,S,0
401,1,third,male,39.0,2.398221310352146,S,0
402,0,third,male,26.0,2.4148822025895167,S,0
403,0,third,female,21.0,2.6311293058238863,S,1
404,0,third,male,28.0,3.1792747121738003,S,1
405,0,third,female,20.0,2.493586391951111,S,0
406,0,second,male,34.0,3.519407197147049,S,1
407,0,third,male,51.0,2.3745326220959444,S,0
408,1,second,male,3.0,3.3809090718563612,S,2
409,0,third,male,21.0,2.377943198319083,S,0
410,0,third,female,28.0,3.7595692313787774,S,4
411,0,third,male,28.0,2.394298482187998,S,0
412,0,third,male,28.0,2.2466274654653855,Q,0
413,1,first,female,33.0,5.015437768039126,Q,1
414,0,second,male,28.0,0.0,S,0
415,1,third,male,44.0,2.398221310352146,S,0
416,0,third,female,28.0,2.4148822025895167,S,0
417,1,second,female,34.0,4.071092665244434,S,2
418,1,second,female,18.0,2.9473095617168967,S,2
419,0,second,male,30.0,2.9473095617168967,S,0
420,0,third,female,10.0,3.6929033867379175,S,2
421,0,third,male,28.0,2.394298482187998,C,0
422,0,third,male,21.0,2.3722493713075887,Q,0
423,0,third,male,29.0,2.3914969251097076,S,0
424,0,third,female,28.0,3.066185061287089,S,2
425,0,third,male,18.0,3.4724761219102795,S,2
426,0,third,male,28.0,2.3043724544848647,S,0
427,1,second,female,28.0,3.7857078329768887,S,1
428,1,second,female,19.0,3.7857078329768887,S,0
429,0,third,male,28.0,2.3745326220959444,Q,0
430,1,third,male,32.0,2.4148822025895167,S,0
431,1,first,male,28.0,3.8121732488288633,S,0
432,1,third,female,28.0,3.197864250049784,S,1
433,1,second,female,42.0,3.7857078329768887,S,1
434,0,third,male,17.0,2.286223246576346,S,0
435,0,first,male,50.0,4.793820009315042,S,1
436,1,first,female,14.0,5.015437768039126,S,3
437,0,third,female,21.0,4.143947681749917,S,4
438,1,second,female,24.0,3.3809090718563612,S,5
439,0,first,male,64.0,5.015437768039126,S,5
440,0,second,male,31.0,2.704889119955267,S,0
441,1,second,female,45.0,3.7977983217500153,S,2
442,0,third,male,20.0,2.5940972117941037,S,0
443,0,third,male,25.0,2.377943198319083,S,1
444,1,second,female,28.0,2.9473095617168967,S,0
