Survived,Pclass,Sex,Age,Fare,Embarked,Family_size
0,third,male,22.0,2.3043724544848647,S,1
1,first,female,38.0,5.015437768039126,C,1
1,third,female,26.0,2.398221310352146,S,0
1,first,female,35.0,4.723612218851696,S,1
0,third,male,35.0,2.4148822025895167,S,0
0,third,male,28.0,2.4678692855831668,Q,0
0,first,male,54.0,4.69151431817404,S,0
0,third,male,2.0,3.523796061248209,S,4
1,third,female,27.0,2.770564334584179,S,2
1,second,female,14.0,3.970924838813709,C,1
1,third,female,4.0,3.241481118382464,S,2
1,first,female,58.0,3.8121732488288633,S,0
0,third,male,20.0,2.4148822025895167,S,0
0,third,male,39.0,4.0214448601989,S,6
0,third,female,14.0,2.3886893355718013,S,0
1,second,female,55.0,3.190458558560287,S,0
0,third,male,2.0,3.929969396549108,Q,5
1,second,male,28.0,2.9473095617168967,S,0
0,third,female,31.0,3.3315096839855767,S,1
1,third,female,28.0,2.3007628978459755,C,0
0,second,male,35.0,3.7857078329768887,S,0
1,second,male,34.0,2.9473095617168967,S,0
1,third,female,15.0,2.412124536325277,Q,0
1,first,male,28.0,4.185977149422453,S,0
0,third,female,8.0,3.523796061248209,S,4
1,third,female,38.0,4.026075828701417,S,6
0,third,male,28.0,2.3007628978459755,C,0
0,first,male,19.0,5.015437768039126,S,5
1,third,female,28.0,2.3920631093260445,Q,0
0,third,male,28.0,2.394298482187998,S,0
0,first,male,40.0,3.86693304395085,C,0
1,first,female,28.0,5.015437768039126,C,1
1,third,female,28.0,2.3745326220959444,Q,0
0,second,male,66.0,2.704889119955267,S,0
0,first,male,28.0,5.015437768039126,C,1
0,first,male,42.0,4.695114608316313,S,1
1,third,male,28.0,2.3013700064551847,C,0
0,third,male,21.0,2.4148822025895167,S,0
0,third,female,18.0,3.3315096839855767,S,2
1,third,female,14.0,2.781489188605697,C,1
0,third,female,40.0,2.5912051900167388,S,1
0,second,female,27.0,3.519407197147049,S,1
0,third,male,28.0,2.394298482187998,C,0
1,second,female,3.0,4.39437746047154,C,3
1,third,female,19.0,2.3920631093260445,Q,0
0,third,male,28.0,2.4148822025895167,S,0
0,third,male,28.0,3.152819522300036,Q,1
1,third,female,28.0,2.3745326220959444,Q,0
0,third,male,28.0,3.558661819728736,C,2
0,third,female,18.0,3.318034348923242,S,1
0,third,male,7.0,4.332625767324704,S,5
0,third,male,21.0,2.381344868472615,S,0
1,first,female,49.0,5.015437768039126,C,1
1,second,female,29.0,3.7857078329768887,S,1
0,first,male,65.0,4.935937669411826,C,1
1,first,male,28.0,4.185977149422453,S,0
1,second,female,21.0,2.704889119955267,S,0
0,third,male,28.5,2.3013700064551847,C,0
1,second,female,5.0,3.868272400697609,S,3
0,third,male,11.0,4.555456251917921,S,7
0,third,male,22.0,2.3013700064551847,C,0
1,first,female,38.0,5.015437768039126,S,0
0,first,male,45.0,5.015437768039126,S,1
0,third,male,4.0,3.8751330405718414,S,5
0,first,male,28.0,3.86693304395085,C,0
1,third,male,28.0,3.133280658269117,C,2
1,second,female,29.0,2.704889119955267,S,0
0,third,male,19.0,2.429147311513578,S,0
1,third,female,17.0,2.398221310352146,S,6
0,third,male,26.0,2.493586391951111,S,2
0,second,male,32.0,2.704889119955267,S,0
0,third,female,16.0,4.555456251917921,S,7
0,second,male,21.0,5.015437768039126,S,0
0,third,male,26.0,3.0705848524372903,C,1
1,third,male,32.0,4.808349126889522,S,0
0,third,male,25.0,2.360800273073946,S,0
0,third,male,28.0,2.394298482187998,S,0
0,third,male,28.0,2.4148822025895167,S,0
1,second,male,0.83,3.924468562762821,S,2
1,third,female,30.0,2.8998993211269903,S,0
0,third,male,22.0,2.5350176560332587,S,0
1,third,male,29.0,2.594097211794104,S,0
1,third,female,28.0,2.379645143616436,Q,0
0,first,male,28.0,4.561184786266102,S,0
1,second,female,17.0,2.704889119955267,S,0
1,third,female,33.0,3.1792747121738003,S,3
0,third,male,16.0,4.143947681749917,S,4
0,third,male,28.0,2.4148822025895167,S,0
1,first,female,23.0,5.015437768039126,S,5
0,third,male,24.0,2.4148822025895167,S,0
0,third,male,29.0,2.4148822025895167,S,0
0,third,male,20.0,2.3886893355718013,S,0
0,first,male,46.0,4.91787926918867,S,1
0,third,male,26.0,3.4942745047830144,S,3
0,third,male,59.0,2.3043724544848647,S,0
0,third,male,28.0,2.4148822025895167,S,0
0,first,male,71.0,4.15449168941072,C,0
1,first,male,23.0,4.966418542504059,C,1
1,second,female,34.0,3.632003132274872,S,1
0,second,male,34.0,3.7857078329768887,S,1
0,third,female,28.0,2.394298482187998,S,0
0,third,male,28.0,2.394298482187998,S,0
0,first,male,21.0,5.015437768039126,S,1
0,third,male,33.0,2.4925508514011527,S,0
0,third,male,37.0,2.398221310352146,S,2
0,third,male,28.0,2.394298482187998,S,0
1,third,female,21.0,2.360800273073946,S,0
1,third,male,28.0,2.377943198319083,S,0
0,third,male,38.0,2.394298482187998,S,0
1,third,female,28.0,3.6929033867379175,Q,1
0,first,male,47.0,4.695114608316313,S,0
0,third,female,14.5,3.0705848524372903,C,1
0,third,male,22.0,2.4148822025895167,S,0
0,third,female,20.0,2.6311293058238863,S,1
0,third,female,17.0,3.070917101542697,C,0
0,third,male,21.0,2.398221310352146,S,0
0,third,male,70.5,2.3745326220959444,Q,0
0,second,male,29.0,3.519407197147049,S,1
0,first,male,24.0,5.015437768039126,C,1
0,third,female,2.0,4.0214448601989,S,6
0,second,male,21.0,5.015437768039126,S,2
0,third,male,28.0,2.4148822025895167,S,0
0,second,male,32.5,3.970924838813709,C,1
1,second,female,32.5,2.9473095617168967,S,0
0,first,male,54.0,5.015437768039126,S,1
1,third,male,12.0,2.781489188605697,C,1
0,third,male,28.0,2.3745326220959444,Q,0
1,third,male,24.0,2.2886627515688764,S,0
1,third,female,28.0,3.596846429067125,C,2
0,third,male,45.0,2.2641028388841624,S,0
0,third,male,33.0,2.394298482187998,C,0
0,third,male,20.0,2.2752103292422072,S,0
0,third,female,47.0,3.074291731413492,S,1
1,second,female,29.0,3.7857078329768887,S,1
0,second,male,25.0,2.9473095617168967,S,0
0,second,male,23.0,3.1177095982257983,C,0
1,first,female,19.0,3.7994010851013487,S,2
0,first,male,37.0,4.723612218851696,S,1
0,third,male,16.0,2.560948196518704,S,0
0,first,male,24.0,5.015437768039126,C,0
0,third,female,28.0,3.133280658269117,C,2
1,third,female,22.0,2.3745326220959444,S,0
1,third,female,24.0,3.1792747121738003,S,1
0,third,male,19.0,2.230195558586317,Q,0
0,second,male,18.0,2.807167738626635,S,0
0,second,male,19.0,4.231304329059991,S,2
1,third,male,27.0,2.38077400824106,S,0
0,third,female,9.0,4.143947681749917,S,4
0,second,male,36.5,3.7857078329768887,S,2
0,second,male,42.0,2.9473095617168967,S,0
0,second,male,51.0,2.9044869458006577,S,0
1,first,female,22.0,5.015437768039126,S,1
0,third,male,55.5,2.4148822025895167,S,0
0,third,male,40.5,3.074291731413492,S,2
0,third,male,28.0,2.3133526149622288,S,0
0,first,male,51.0,4.9224848186582655,C,1
1,third,female,16.0,2.3722493713075887,Q,0
0,third,male,30.0,2.4148822025895167,S,0
0,third,male,28.0,2.493586391951111,S,0
0,third,male,28.0,5.015437768039126,S,10
0,third,male,44.0,3.197864250049784,S,1
1,second,female,40.0,3.171767940358532,S,0
0,third,male,26.0,2.377943198319083,S,0
0,third,male,17.0,2.493586391951111,S,0
0,third,male,1.0,4.332625767324704,S,5
1,third,male,9.0,3.491287906398428,S,2
1,first,female,28.0,4.7716057432440335,S,1
0,third,female,45.0,3.8751330405718414,S,5
0,first,male,28.0,3.782060649202303,S,0
0,third,male,28.0,4.808349126889522,S,0
0,first,male,61.0,4.110401247454974,S,0
0,third,male,4.0,3.929969396549108,Q,5
1,third,female,1.0,2.770564334584179,S,2
0,third,male,21.0,2.398221310352146,S,0
0,first,male,56.0,3.997365522502673,C,0
0,third,male,18.0,2.3886893355718013,S,2
0,third,male,28.0,3.7595692313787774,S,4
0,first,female,50.0,3.911736383873786,C,0
0,second,male,30.0,2.9473095617168967,S,0
0,third,male,36.0,0.0,S,0
0,third,female,28.0,5.015437768039126,S,10
0,second,male,28.0,3.118038417101691,C,0
0,third,male,9.0,4.026075828701417,S,6
1,second,male,1.0,4.309528842783427,S,3
1,third,female,4.0,3.5782347253899887,S,2
0,first,male,28.0,4.641880915904428,S,0
1,third,female,28.0,3.152819522300036,Q,1
1,first,male,45.0,3.8121732488288633,S,0
0,third,male,40.0,3.152819522300036,Q,2
0,third,male,36.0,2.394298482187998,S,0
1,second,female,32.0,2.9473095617168967,S,0
0,second,male,19.0,2.9473095617168967,S,0
1,third,female,19.0,2.3886893355718013,S,1
1,second,male,3.0,3.7857078329768887,S,2
1,first,female,44.0,3.86693304395085,C,0
1,first,female,58.0,5.015437768039126,C,0
0,third,male,28.0,2.3745326220959444,Q,0
0,third,male,42.0,2.460970522745876,S,1
1,third,female,28.0,2.3745326220959444,Q,0
0,second,female,24.0,2.9473095617168967,S,0
0,third,male,28.0,2.594097211794104,S,0
0,third,male,28.0,5.015437768039126,S,10
0,third,male,34.0,2.190783374363152,S,0
0,third,male,45.5,2.3007628978459755,C,0
1,third,male,18.0,2.4148822025895167,S,0
0,third,female,2.0,2.7008969505261584,S,1
0,third,male,32.0,3.1792747121738003,S,1
1,third,male,26.0,3.3833335873882944,C,0
1,third,female,16.0,2.3745326220959444,Q,0
1,first,male,40.0,4.01006204491078,C,0
0,third,male,24.0,2.2752103292422072,S,0
1,second,female,35.0,3.519407197147049,S,0
0,third,male,22.0,2.3043724544848647,S,0
0,second,male,30.0,2.9473095617168967,S,0
0,third,male,28.0,2.3745326220959444,Q,1
1,first,female,31.0,5.015437768039126,C,1
1,third,female,27.0,2.398221310352146,S,0
0,second,male,42.0,3.833468531648843,S,1
1,first,female,32.0,5.015437768039126,C,0
0,second,male,30.0,2.704889119955267,S,0
1,third,male,16.0,2.4148822025895167,S,0
0,second,male,27.0,2.9473095617168967,S,0
0,third,male,51.0,2.4148822025895167,S,0
0,third,male,28.0,2.394298482187998,S,0
1,first,male,38.0,5.015437768039126,S,1
0,third,male,22.0,2.576649372122712,S,0
1,second,male,19.0,2.704889119955267,S,0
0,third,male,20.5,2.3043724544848647,S,0
0,second,male,18.0,2.9473095617168967,S,0
0,third,female,28.0,3.7595692313787774,S,4
1,first,female,35.0,5.015437768039126,S,1
0,third,male,29.0,2.377943198319083,S,0
0,second,male,59.0,2.99096883417017,S,0
1,third,female,5.0,4.026075828701417,S,6
0,second,male,24.0,2.704889119955267,S,0
0,third,female,28.0,2.346921443108511,S,0
0,second,male,44.0,3.7857078329768887,S,1
1,second,female,8.0,3.7977983217500153,S,2
0,second,male,19.0,2.704889119955267,S,0
0,second,male,33.0,2.8813912008729643,S,0
0,third,female,28.0,3.0705848524372903,C,1
1,third,female,28.0,3.152819522300036,Q,1
0,second,male,29.0,2.704889119955267,S,0
0,third,male,22.0,2.286223246576346,S,0
0,third,male,30.0,2.3007628978459755,C,0
0,first,male,44.0,5.015437768039126,Q,2
0,third,female,25.0,2.377943198319083,S,0
1,second,female,24.0,3.074291731413492,S,2
1,first,male,37.0,4.709539372444106,S,2
0,second,male,54.0,3.7857078329768887,S,1
0,third,male,28.0,2.3043724544848647,S,0
0,third,female,29.0,2.7008969505261584,S,2
0,first,male,62.0,3.8121732488288633,S,0
0,third,male,30.0,3.197864250049784,S,1
0,third,female,41.0,3.4724761219102795,S,2
1,third,female,29.0,3.133280658269117,C,2
1,first,female,28.0,5.015437768039126,C,0
1,first,female,30.0,5.015437768039126,S,0
1,first,female,35.0,5.015437768039126,C,0
1,second,female,50.0,3.7857078329768887,S,1
0,third,male,28.0,2.3745326220959444,Q,0
1,third,male,3.0,4.026075828701417,S,6
0,first,male,52.0,5.015437768039126,S,2
0,first,male,40.0,0.0,S,0
0,third,female,28.0,2.3745326220959444,Q,0
0,second,male,36.0,2.704889119955267,S,0
0,third,male,16.0,4.332625767324704,S,5
1,third,male,25.0,2.377943198319083,S,1
1,first,female,58.0,5.015437768039126,S,1
1,first,female,35.0,5.015437768039126,S,0
0,first,male,28.0,4.01006204491078,S,0
1,third,male,25.0,0.0,S,0
1,second,female,41.0,3.4286158700593674,S,1
0,first,male,37.0,3.955006469249529,C,1
1,third,female,28.0,2.3745326220959444,Q,0
1,first,female,63.0,5.015437768039126,S,1
0,third,female,45.0,2.3745326220959444,S,0
0,second,male,28.0,0.0,S,0
0,third,male,7.0,3.929969396549108,Q,5
1,third,female,35.0,3.4747469148569685,S,2
0,third,male,65.0,2.3745326220959444,Q,0
0,third,male,28.0,2.3886893355718013,S,0
0,third,male,16.0,2.594097211794104,S,0
1,third,male,19.0,2.4148822025895167,S,0
0,first,male,28.0,3.7857078329768887,S,0
0,third,male,33.0,2.493586391951111,C,0
1,third,male,30.0,2.594097211794104,S,0
0,third,male,22.0,2.394298482187998,S,0
1,second,male,42.0,2.9473095617168967,S,0
1,third,female,22.0,2.3745326220959444,Q,0
1,first,female,26.0,5.015437768039126,S,0
1,first,female,19.0,5.015437768039126,C,1
0,second,male,36.0,2.9361712869843584,C,0
0,third,female,24.0,2.5167647266406177,S,0
0,third,male,24.0,2.394298482187998,S,0
0,first,male,28.0,3.86693304395085,C,0
0,third,male,23.5,2.3013700064551847,C,0
0,first,female,2.0,5.015437768039126,S,3
1,first,male,28.0,3.9891340466493737,S,0
1,first,female,50.0,5.015437768039126,C,1
1,third,female,28.0,2.3745326220959444,Q,0
1,third,male,28.0,3.645466729701733,Q,2
0,third,male,19.0,0.0,S,0
1,second,female,28.0,2.888361547293197,Q,0
0,third,male,28.0,2.4148822025895167,S,0
1,first,male,0.92,5.015437768039126,S,3
1,first,female,28.0,5.015437768039126,C,0
1,first,female,17.0,5.015437768039126,C,1
0,second,male,30.0,3.685106597049385,C,1
1,first,female,30.0,4.818831414101551,C,0
1,first,female,24.0,5.015437768039126,C,0
1,first,female,18.0,5.015437768039126,C,4
0,second,female,26.0,3.7857078329768887,S,2
0,third,male,28.0,2.394298482187998,S,0
0,second,male,43.0,3.7977983217500153,S,2
1,third,female,26.0,2.3886893355718013,S,0
1,second,female,24.0,3.7857078329768887,S,1
0,second,male,54.0,3.033267663409314,S,0
1,first,female,31.0,5.015437768039126,S,2
1,first,female,40.0,5.015437768039126,C,2
0,third,male,22.0,2.3043724544848647,S,0
0,third,male,27.0,2.394298482187998,S,0
1,second,female,30.0,2.888361547293197,Q,0
1,second,female,22.0,3.924468562762821,S,2
0,third,male,28.0,5.015437768039126,S,10
1,first,female,36.0,5.015437768039126,C,0
0,third,male,61.0,2.1494584459713977,S,0
1,second,female,36.0,2.9473095617168967,S,0
1,third,female,31.0,3.491287906398428,S,2
1,first,female,16.0,4.843931496500242,C,1
1,third,female,28.0,3.645466729701733,Q,2
0,first,male,45.5,3.902252765778488,S,0
0,first,male,38.0,5.015437768039126,S,1
0,third,male,16.0,3.3315096839855767,S,2
1,first,female,28.0,5.015437768039126,S,1
0,third,male,28.0,2.394298482187998,S,0
0,first,male,29.0,5.015437768039126,S,1
1,first,female,41.0,5.015437768039126,C,0
1,third,male,45.0,2.4148822025895167,S,0
0,first,male,45.0,4.185977149422453,S,0
1,second,male,2.0,3.7857078329768887,S,2
1,first,female,24.0,5.015437768039126,S,5
0,second,male,28.0,2.9473095617168967,S,0
0,second,male,25.0,2.9473095617168967,S,0
0,second,male,36.0,2.9473095617168967,S,0
1,second,female,24.0,2.9473095617168967,S,0
1,second,female,40.0,2.9473095617168967,S,0
1,third,female,28.0,3.197864250049784,S,1
1,third,male,3.0,3.1830127780522783,S,2
0,third,male,42.0,2.493586391951111,S,0
0,third,male,23.0,2.5619313122928133,S,0
0,first,male,28.0,4.16744630212166,S,0
0,third,male,15.0,2.3013700064551847,C,2
0,third,male,25.0,3.318034348923242,S,1
0,third,male,28.0,2.3007628978459755,C,0
0,third,male,28.0,2.594097211794104,S,0
1,first,female,22.0,4.7716057432440335,S,1
0,second,female,38.0,2.9473095617168967,S,0
1,third,female,28.0,2.3920631093260445,Q,0
1,third,female,28.0,2.3920631093260445,Q,0
0,third,male,40.0,3.8751330405718414,S,5
0,second,male,29.0,3.86693304395085,C,1
0,third,female,45.0,3.0705848524372903,C,1
0,third,male,35.0,2.2752103292422072,S,0
0,third,male,28.0,3.152819522300036,Q,1
0,third,male,30.0,2.3043724544848647,S,0
1,first,female,60.0,5.015437768039126,C,1
1,third,female,28.0,2.3013700064551847,C,0
1,third,female,28.0,2.3745326220959444,Q,0
1,first,female,24.0,5.015437768039126,C,0
1,first,male,25.0,4.782548632381412,C,1
0,third,male,18.0,2.190783374363152,S,1
0,third,male,19.0,2.4148822025895167,S,0
0,first,male,22.0,5.015437768039126,C,0
0,third,female,3.0,3.523796061248209,S,4
1,first,female,28.0,5.015437768039126,C,1
1,third,female,22.0,2.3043724544848647,S,0
0,first,male,27.0,5.015437768039126,C,2
0,third,male,20.0,1.7236508937585957,C,0
0,third,male,19.0,2.377943198319083,S,0
1,first,female,42.0,5.015437768039126,C,0
1,third,female,1.0,3.171143031079696,C,2
0,third,male,32.0,2.398221310352146,S,0
1,first,female,35.0,4.695114608316313,S,1
0,third,male,28.0,2.394298482187998,S,0
0,second,male,18.0,5.015437768039126,S,0
0,third,male,1.0,4.555456251917921,S,7
1,second,female,36.0,2.9473095617168967,S,0
0,third,male,28.0,2.371688200114058,Q,0
1,second,female,17.0,2.8555202111493228,C,0
1,first,male,36.0,5.015437768039126,S,3
1,third,male,21.0,2.38077400824106,S,0
0,third,male,28.0,2.398221310352146,S,2
1,first,female,23.0,5.015437768039126,C,1
1,third,female,24.0,3.241481118382464,S,2
0,third,male,22.0,2.38077400824106,S,0
0,third,female,31.0,2.3886893355718013,S,0
0,second,male,46.0,3.7857078329768887,S,0
0,second,male,23.0,2.704889119955267,S,0
1,second,female,28.0,2.915888264566553,S,0
1,third,male,39.0,2.398221310352146,S,0
0,third,male,26.0,2.4148822025895167,S,0
0,third,female,21.0,2.6311293058238863,S,1
0,third,male,28.0,3.1792747121738003,S,1
0,third,female,20.0,2.493586391951111,S,0
0,second,male,34.0,3.519407197147049,S,1
0,third,male,51.0,2.3745326220959444,S,0
1,second,male,3.0,3.380909071856361,S,2
0,third,male,21.0,2.377943198319083,S,0
0,third,female,28.0,3.7595692313787774,S,4
0,third,male,28.0,2.394298482187998,S,0
0,third,male,28.0,2.246627465465385,Q,0
1,first,female,33.0,5.015437768039126,Q,1
0,second,male,28.0,0.0,S,0
1,third,male,44.0,2.398221310352146,S,0
0,third,female,28.0,2.4148822025895167,S,0
1,second,female,34.0,4.071092665244434,S,2
1,second,female,18.0,2.9473095617168967,S,2
0,second,male,30.0,2.9473095617168967,S,0
0,third,female,10.0,3.6929033867379175,S,2
0,third,male,28.0,2.394298482187998,C,0
0,third,male,21.0,2.3722493713075887,Q,0
0,third,male,29.0,2.391496925109708,S,0
0,third,female,28.0,3.066185061287089,S,2
0,third,male,18.0,3.4724761219102795,S,2
0,third,male,28.0,2.3043724544848647,S,0
1,second,female,28.0,3.7857078329768887,S,1
1,second,female,19.0,3.7857078329768887,S,0
0,third,male,28.0,2.3745326220959444,Q,0
1,third,male,32.0,2.4148822025895167,S,0
1,first,male,28.0,3.8121732488288633,S,0
1,third,female,28.0,3.197864250049784,S,1
1,second,female,42.0,3.7857078329768887,S,1
0,third,male,17.0,2.286223246576346,S,0
0,first,male,50.0,4.793820009315042,S,1
1,first,female,14.0,5.015437768039126,S,3
0,third,female,21.0,4.143947681749917,S,4
1,second,female,24.0,3.380909071856361,S,5
0,first,male,64.0,5.015437768039126,S,5
0,second,male,31.0,2.704889119955267,S,0
1,second,female,45.0,3.7977983217500153,S,2
0,third,male,20.0,2.594097211794104,S,0
0,third,male,25.0,2.377943198319083,S,1
